A61K47,A61P31,C07D417,A61P9,A61B5,A61M31,C12Q1,A61P35,C12N15,A61K38,C12P21,A61F2,G01N33,C07D413,A61P25,A61K39,A61P37,C12N5,C07D487,A61M5,A61K35,C07D403,A61B17,C07K14,A61K9,A61K45,C07K16,C07D471,A61K31,C07D401,abstract,ID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"A drug dosage form is provided in the form of a solid tablet which is greater than 50% by weight the local anesthetic agent. The local anesthetic agent may be selected from the group consisting of an aminoamide, an aminoester, and a combination thereof. The drug tablet may be in the form of a mini-tablet which is greater than 70 wt % drug, with the balance being excipient. For example, the anesethetic agent may include lidocaine, in a salt or base form, combined with binder and lubricant excipients. Implantable drug delivery devices including the tablets are also provided, e.g., one or more of the drug tablets may be contained in a biocompatible housing. The drug tablets may be substantially cylindrical with flat end faces, and the device may have from 10 to 100 drug tablets aligned in the housing with the flat end faces of adjacent tablets abutting one another.",US20130129824A1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"The invention relates to a transcriptionally active recombinant linear polynucleotide encoding a multimeric protein comprising in the following order, a first promoter sequence, a first encoding polynucleotide sequence, a bidirectional regulatory sequence, a second encoding polynucleotide sequence and a second promoter sequence, wherein the first and second encoding polynucleotide sequences are in convergent transcriptional orientation, each encoding polynucleotide sequence encodes a component of the multimeric protein and the bidirectional regulatory sequence is operably linked to the first and second encoding polynucleotide sequences and the multimeric protein is an antibody or fragment thereof and each encoding polynucleotide sequence encodes one or more antibody domains or fragments thereof.",US9399671B2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"Epidermal growth factor receptor (EGFR) inhibitors are provided. In particular, 4-substituted-2-(N-(5-substituted ally amide)phenyl)amino)pyrimidine derivatives of formula (I), a preparation method and use thereof as an EGFR inhibitor are provided. The 4-substituted-2-(N-(5-substituted ally amide)phenyl)amino)pyrimidine derivatives of formula (I) have inhibitory activity against the L858R EGFR mutant, the T790M EGFR mutant and the exon 19 deletion activating mutant, and can be used to treat diseases mediated alone or in part by EGFR mutant activity. The derivatives of formula (I) can be used to treat and/or prevent cancers, particularly non-small cell lung cancer.
",US20190100528A1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"An intramedullary orthopedic implant includes a body section having a first end that provides a point of insertion for the body section and a second end. The body section further includes wings extending away from the point of insertion for the body section. The intramedullary orthopedic implant further includes first and second legs extending from the second end of the body section. The first and second legs begin in a first implanted shape, are movable to a second insertion shape, and remain in the second insertion shape as long as the first and second legs are mechanically constrained.",US9522022B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Single oral solid dosage form comprising an immediate release first dosage composition having at least two antibiotic agents and a delayed release second dosage composition having a proton pump inhibitor are provided herein. The single oral solid dosage form according to some aspects of the invention can be used for the treatment of disorders associated with infection by H. pylori or the prevention of recurrence of disorders associated with infection by H. pylori. ,US20190175512A1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"The invention relates to a liquid pharmaceutical formulation comprising an antibody or antigen-binding fragment thereof, cyclodextrin and methionine. In addition, it relates to a method for reducing precipitation of an antibody or an antigen-binding fragment thereof in a liquid pharmaceutical formulation through addition of methionine and cyclodextrin. In particular, the liquid pharmaceutical formulations comprises an anti-sclerostin antibody, hydroxypropyl-gamma cyclodextrin and methionine and may be used in the treatment of a bone disorder associated with at least one of low bone formation, low bone mineral density, low bone mineral content, low bone mass, low bone quality and low bone strength, and especially for treating osteoporosis. Furthermore, the invention relates to a method of reducing inflammation at injection site in a mammalian subject comprising administering a therapeutically effective amount of a liquid pharmaceutical formulation comprising an antibody or antigen-binding fragment thereof, cyclodextrin and methionine.",US11576970B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"This invention provides antibodies or functional fragments thereof that bind to PD-1 with high affinity. The invention provides nucleic acid molecules encoding the antibodies or the fragments thereof according to the present invention, expression vectors and host cells for expressing the antibodies or the functional fragments thereof according to the present invention, as well as methods for producing the antibodies or the functional fragments thereof according to the present invention. The present invention also provides immunoconjugates and pharmaceutical compositions comprising the antibodies or the functional fragments thereof according to the present invention. The present invention additionally provides methods for treating a plurality of diseases (comprising cancers, infectious diseases and inflammatory diseases) by using the antibodies or the functional fragments thereof disclosed herein.",US10815302B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"The present invention provides an antibody targeted to interleukin 17A (IL-17A), preparation method and the use thereof. In particular, the invention provides a novel anti-IL-17A monoclonal antibody. The antibody of the present invention is capable of binding IL-17A antigen with high specificity, has high affinity and low immunogenicity, and is used for preparing a medicament for preventing or treating an IL-17A-related disease such as various inflammatory or autoimmune diseases.",US10981983B2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"The present invention is directed to oxadiazole linkers and use thereof, more specifically to the compounds represented by formula I, II, and III, and their use in the preparation of antibody-drug conjugates (ADCs). The ADCs obtained from said oxadiazole linkers have high homogeneity and stability, and could be used effectively for the treatment of various diseases including tumors. The definition of the groups in formula I, II, and III is the same as that in the description.
",US11241503B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"A series of pyrazolo[3,4-b]pyridine derivatives that are substituted at the 4-position by a diaza monocyclic, bridged bicyclic or spirocyclic moiety, being selective inhibitors of phosphatidylinositol-4-kinase IIIβ (PI4KIIIβ) activity, are beneficial in the treatment and/or prevention of various human ailments, including inflammatory, autoimmune and oncological disorders; viral diseases and malaria; and organ and cell transplant rejection.",US20170121324A1
